symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NFLX,2023-01-03 05:00:00+00:00,298.06,298.33,288.79,294.89,244699.0,4122.0,293.860091
NFLX,2023-01-04 05:00:00+00:00,297.955,310.93,295.73,309.44,314228.0,5982.0,305.408679
NFLX,2023-01-05 05:00:00+00:00,306.91,314.14,304.84,309.66,260061.0,6102.0,310.470748
NFLX,2023-01-06 05:00:00+00:00,311.93,316.675,303.79,315.61,271195.0,5581.0,311.345854
NFLX,2023-01-09 05:00:00+00:00,316.87,321.65,313.445,315.21,277144.0,6189.0,316.884239
NFLX,2023-01-10 05:00:00+00:00,311.27,329.31,311.27,327.49,517993.0,8867.0,324.041822
NFLX,2023-01-11 05:00:00+00:00,326.31,328.87,321.51,327.13,408329.0,7750.0,325.076917
NFLX,2023-01-12 05:00:00+00:00,332.35,332.81,323.18,330.09,294868.0,5498.0,329.225236
NFLX,2023-01-13 05:00:00+00:00,329.95,336.57,329.395,332.78,238488.0,5282.0,333.327028
NFLX,2023-01-17 05:00:00+00:00,331.17,332.0,323.86,326.23,292137.0,6274.0,326.171623
NFLX,2023-01-18 05:00:00+00:00,327.13,330.08,321.25,326.515,400849.0,6872.0,324.709997
NFLX,2023-01-19 05:00:00+00:00,322.67,324.75,313.88,315.705,568832.0,9561.0,320.020018
NFLX,2023-01-20 05:00:00+00:00,336.94,342.95,332.67,342.51,855035.0,14396.0,339.103819
NFLX,2023-01-23 05:00:00+00:00,341.715,362.2,340.72,357.38,498816.0,8498.0,355.03213
NFLX,2023-01-24 05:00:00+00:00,357.53,365.5,355.505,363.87,325778.0,5958.0,362.100907
NFLX,2023-01-25 05:00:00+00:00,359.91,368.79,358.57,368.09,327254.0,8854.0,363.457904
NFLX,2023-01-26 05:00:00+00:00,368.42,369.02,361.85,364.78,260186.0,5912.0,365.093533
NFLX,2023-01-27 05:00:00+00:00,363.13,365.645,360.68,360.71,262802.0,5547.0,362.862756
NFLX,2023-01-30 05:00:00+00:00,357.25,360.47,352.87,353.19,232474.0,5847.0,355.41879
NFLX,2023-01-31 05:00:00+00:00,349.07,355.95,349.07,353.94,183401.0,3850.0,353.046495
NFLX,2023-02-01 05:00:00+00:00,355.72,365.35,350.055,361.9,392644.0,5811.0,360.264264
NFLX,2023-02-02 05:00:00+00:00,365.22,368.27,358.57,366.93,269651.0,6198.0,364.352701
NFLX,2023-02-03 05:00:00+00:00,359.475,379.26,359.475,365.98,296338.0,6201.0,370.297424
NFLX,2023-02-06 05:00:00+00:00,364.03,367.87,360.83,361.52,153565.0,3709.0,363.626843
NFLX,2023-02-07 05:00:00+00:00,358.98,364.07,354.24,362.8,173182.0,3508.0,359.600059
NFLX,2023-02-08 05:00:00+00:00,359.68,368.14,359.22,366.85,257921.0,4629.0,364.69176
NFLX,2023-02-09 05:00:00+00:00,372.64,373.585,361.79,362.38,263315.0,4287.0,366.568959
NFLX,2023-02-10 05:00:00+00:00,358.88,362.09,347.28,347.33,325880.0,5516.0,351.742934
NFLX,2023-02-13 05:00:00+00:00,349.465,359.655,344.51,358.46,233488.0,4392.0,354.873064
NFLX,2023-02-14 05:00:00+00:00,357.09,363.52,353.4,359.83,157730.0,3428.0,358.770873
NFLX,2023-02-15 05:00:00+00:00,356.63,362.76,354.45,361.345,141620.0,3160.0,359.144319
NFLX,2023-02-16 05:00:00+00:00,355.0,361.38,350.41,350.59,130775.0,2706.0,354.914762
NFLX,2023-02-17 05:00:00+00:00,347.66,348.75,342.755,347.9,169948.0,3481.0,346.327111
NFLX,2023-02-21 05:00:00+00:00,343.155,344.09,336.625,337.35,258027.0,4302.0,340.055995
NFLX,2023-02-22 05:00:00+00:00,336.42,341.77,332.88,334.82,148113.0,3073.0,336.197625
NFLX,2023-02-23 05:00:00+00:00,331.2,331.2,314.45,323.67,731043.0,10096.0,321.771769
NFLX,2023-02-24 05:00:00+00:00,319.28,320.845,314.56,317.12,254607.0,5153.0,316.45682
NFLX,2023-02-27 05:00:00+00:00,323.87,329.78,322.175,323.1,185557.0,4359.0,325.582077
NFLX,2023-02-28 05:00:00+00:00,324.1,327.36,321.315,322.16,124807.0,2774.0,324.097507
NFLX,2023-03-01 05:00:00+00:00,322.065,326.375,312.36,313.5,243319.0,4646.0,316.064879
NFLX,2023-03-02 05:00:00+00:00,311.2,315.16,310.38,311.84,174641.0,3430.0,312.739167
NFLX,2023-03-03 05:00:00+00:00,315.94,317.27,310.94,315.18,192143.0,3495.0,315.437923
NFLX,2023-03-06 05:00:00+00:00,317.645,323.23,311.97,312.0,202492.0,4244.0,318.36576
NFLX,2023-03-07 05:00:00+00:00,312.94,314.03,306.72,308.41,171736.0,4065.0,309.808683
NFLX,2023-03-08 05:00:00+00:00,309.36,311.73,306.23,311.73,123471.0,3188.0,309.375778
NFLX,2023-03-09 05:00:00+00:00,311.315,312.25,294.97,297.7,255797.0,4991.0,300.253636
NFLX,2023-03-10 05:00:00+00:00,297.905,298.66,289.0,292.72,260827.0,5508.0,293.48209
NFLX,2023-03-13 04:00:00+00:00,287.42,298.94,285.37,293.5,253750.0,5053.0,293.996175
NFLX,2023-03-14 04:00:00+00:00,296.51,297.23,290.38,294.91,245474.0,5414.0,293.7821
NFLX,2023-03-15 04:00:00+00:00,292.69,306.3,292.69,303.54,319772.0,6235.0,301.180984
NFLX,2023-03-16 04:00:00+00:00,304.19,316.57,301.9,309.93,391480.0,7709.0,311.008059
NFLX,2023-03-17 04:00:00+00:00,309.87,310.39,300.04,303.35,176224.0,3399.0,303.87713
NFLX,2023-03-20 04:00:00+00:00,299.79,307.5,296.09,305.0,188429.0,3728.0,303.03602
NFLX,2023-03-21 04:00:00+00:00,306.49,307.61,300.67,305.63,181313.0,3363.0,304.50497
NFLX,2023-03-22 04:00:00+00:00,306.24,306.26,293.6,293.66,279112.0,5021.0,300.532525
NFLX,2023-03-23 04:00:00+00:00,304.215,322.69,304.165,320.3,638679.0,12068.0,317.326533
NFLX,2023-03-24 04:00:00+00:00,320.92,331.815,320.92,328.115,333559.0,7223.0,327.833565
NFLX,2023-03-27 04:00:00+00:00,327.55,336.23,324.505,327.56,255750.0,6016.0,329.92894
NFLX,2023-03-28 04:00:00+00:00,325.97,333.145,321.355,323.51,175081.0,3587.0,325.958294
NFLX,2023-03-29 04:00:00+00:00,325.73,332.69,325.73,332.06,533410.0,6665.0,329.330428
