symbol,timestamp,open,high,low,close,volume,trade_count,vwap
META,2023-01-03 05:00:00+00:00,122.915,126.35,122.29,124.77,910190.0,9389.0,124.403371
META,2023-01-04 05:00:00+00:00,127.72,129.0,125.85,127.36,955362.0,9414.0,127.282121
META,2023-01-05 05:00:00+00:00,126.2,128.5,124.55,126.95,653342.0,6582.0,126.651498
META,2023-01-06 05:00:00+00:00,129.125,130.315,126.07,130.0,573970.0,6933.0,129.026951
META,2023-01-09 05:00:00+00:00,131.34,132.89,129.3,129.46,657701.0,8493.0,130.94004
META,2023-01-10 05:00:00+00:00,127.29,133.415,127.2,132.96,581111.0,7374.0,131.659382
META,2023-01-11 05:00:00+00:00,131.08,133.84,130.39,132.85,498886.0,8172.0,132.526192
META,2023-01-12 05:00:00+00:00,133.56,137.63,131.76,136.69,628780.0,8635.0,135.730244
META,2023-01-13 05:00:00+00:00,134.915,137.355,134.875,136.92,370402.0,6862.0,136.440967
META,2023-01-17 05:00:00+00:00,136.27,136.7,134.355,135.36,486180.0,6061.0,135.584673
META,2023-01-18 05:00:00+00:00,135.81,137.23,132.88,133.03,493026.0,5181.0,134.123563
META,2023-01-19 05:00:00+00:00,132.49,137.35,132.22,136.14,589488.0,7083.0,135.269723
META,2023-01-20 05:00:00+00:00,135.97,139.92,134.67,139.31,504590.0,6205.0,138.284768
META,2023-01-23 05:00:00+00:00,139.41,143.72,138.73,143.24,762623.0,7820.0,142.505449
META,2023-01-24 05:00:00+00:00,141.72,144.98,141.44,143.14,698525.0,10047.0,143.70455
META,2023-01-25 05:00:00+00:00,141.39,143.16,140.34,141.44,597807.0,6963.0,141.895393
META,2023-01-26 05:00:00+00:00,144.54,147.51,143.36,147.24,777229.0,7598.0,145.988516
META,2023-01-27 05:00:00+00:00,148.33,153.18,147.61,151.7,1053410.0,10508.0,151.214615
META,2023-01-30 05:00:00+00:00,149.23,151.08,146.96,147.06,639604.0,8155.0,148.326697
META,2023-01-31 05:00:00+00:00,147.965,149.84,147.53,148.94,522057.0,6338.0,148.526995
META,2023-02-01 05:00:00+00:00,147.95,153.56,147.1,153.11,1018633.0,11998.0,150.48549
META,2023-02-02 05:00:00+00:00,183.43,197.02,180.175,188.795,3668962.0,38236.0,187.307134
META,2023-02-03 05:00:00+00:00,183.3,196.65,183.13,186.51,1847778.0,19263.0,190.801365
META,2023-02-06 05:00:00+00:00,186.5,190.64,185.56,186.08,1033063.0,10519.0,187.345587
META,2023-02-07 05:00:00+00:00,185.575,193.72,184.44,191.71,782837.0,9213.0,189.202837
META,2023-02-08 05:00:00+00:00,190.18,190.79,182.94,183.48,702252.0,8270.0,185.527665
META,2023-02-09 05:00:00+00:00,186.17,186.6,177.27,177.89,835263.0,10090.0,180.417738
META,2023-02-10 05:00:00+00:00,175.98,178.85,173.475,174.16,937894.0,9856.0,175.666588
META,2023-02-13 05:00:00+00:00,177.88,180.99,175.895,179.39,674270.0,9400.0,179.284824
META,2023-02-14 05:00:00+00:00,176.98,181.355,176.04,179.47,488735.0,7184.0,179.427056
META,2023-02-15 05:00:00+00:00,176.445,178.105,175.43,177.13,564978.0,8059.0,176.602272
META,2023-02-16 05:00:00+00:00,172.86,175.85,171.93,172.44,550902.0,8878.0,173.986622
META,2023-02-17 05:00:00+00:00,170.22,173.17,169.86,172.88,541930.0,7682.0,171.554405
META,2023-02-21 05:00:00+00:00,174.18,178.13,171.89,172.11,457939.0,6853.0,174.097539
META,2023-02-22 05:00:00+00:00,171.11,172.7,169.72,171.15,384097.0,7964.0,171.29043
META,2023-02-23 05:00:00+00:00,172.28,173.645,169.4,172.02,431747.0,6302.0,171.877794
META,2023-02-24 05:00:00+00:00,168.245,170.7,167.68,170.43,326858.0,5556.0,169.407104
META,2023-02-27 05:00:00+00:00,172.165,173.07,169.1,169.56,289123.0,4277.0,170.266659
META,2023-02-28 05:00:00+00:00,172.0,177.51,172.0,174.96,812660.0,10131.0,175.356378
META,2023-03-01 05:00:00+00:00,174.69,177.83,173.33,173.49,688239.0,11010.0,175.929589
META,2023-03-02 05:00:00+00:00,172.38,174.98,171.44,174.53,419214.0,5297.0,173.43644
META,2023-03-03 05:00:00+00:00,179.09,186.48,177.12,185.23,814737.0,11161.0,183.550088
META,2023-03-06 05:00:00+00:00,187.9,189.63,184.66,184.93,525393.0,7541.0,187.151043
META,2023-03-07 05:00:00+00:00,188.925,190.06,184.08,184.52,889797.0,11770.0,186.298542
META,2023-03-08 05:00:00+00:00,182.735,185.25,181.36,184.98,512192.0,5604.0,183.601057
META,2023-03-09 05:00:00+00:00,186.41,188.91,180.325,181.67,595625.0,7626.0,183.611706
META,2023-03-10 05:00:00+00:00,181.24,184.77,178.87,179.52,454761.0,6092.0,181.359676
META,2023-03-13 04:00:00+00:00,177.44,183.7,174.89,180.88,430760.0,5998.0,180.677901
META,2023-03-14 04:00:00+00:00,187.255,194.31,186.76,194.0,1008281.0,15564.0,191.768384
META,2023-03-15 04:00:00+00:00,192.735,197.76,190.85,197.75,1085131.0,12935.0,194.299043
META,2023-03-16 04:00:00+00:00,198.29,205.745,196.17,204.95,1073610.0,13173.0,201.102845
META,2023-03-17 04:00:00+00:00,200.13,201.82,195.48,195.78,827497.0,13137.0,198.329131
META,2023-03-20 04:00:00+00:00,198.58,199.29,193.705,197.81,453284.0,5999.0,196.443481
META,2023-03-21 04:00:00+00:00,203.55,203.55,198.01,202.18,606048.0,8503.0,200.704792
META,2023-03-22 04:00:00+00:00,202.61,207.275,199.7,199.78,543251.0,6837.0,203.293998
META,2023-03-23 04:00:00+00:00,202.875,207.82,202.16,204.245,486413.0,6687.0,205.357459
META,2023-03-24 04:00:00+00:00,205.1,207.555,203.57,206.09,438970.0,5970.0,205.466885
META,2023-03-27 04:00:00+00:00,204.88,205.77,201.41,202.86,299581.0,5436.0,203.195315
META,2023-03-28 04:00:00+00:00,200.07,201.01,197.98,200.65,419760.0,5530.0,199.396525
META,2023-03-29 04:00:00+00:00,203.58,205.66,202.565,205.34,350958.0,4061.0,204.475588
META,2023-03-30 04:00:00+00:00,203.125,208.04,202.93,207.87,355849.0,6696.0,206.397119
META,2023-03-31 04:00:00+00:00,207.29,212.15,206.905,211.92,500538.0,7105.0,210.254498
META,2023-04-03 04:00:00+00:00,208.76,213.48,208.44,213.09,334353.0,4611.0,211.466328
META,2023-04-04 04:00:00+00:00,213.17,216.22,212.55,214.72,317618.0,4094.0,214.141245
META,2023-04-05 04:00:00+00:00,214.285,215.02,210.06,211.5,409144.0,7748.0,211.671324
META,2023-04-06 04:00:00+00:00,209.25,216.93,208.69,216.12,573115.0,9161.0,214.382169
META,2023-04-10 04:00:00+00:00,214.745,215.64,210.69,214.75,395117.0,5498.0,213.246696
META,2023-04-11 04:00:00+00:00,215.91,216.0,213.45,213.88,318382.0,5708.0,214.734872
META,2023-04-12 04:00:00+00:00,214.65,216.795,212.62,214.015,328541.0,5057.0,214.880327
META,2023-04-13 04:00:00+00:00,216.01,221.09,216.01,220.34,383172.0,5844.0,219.206121
META,2023-04-14 04:00:00+00:00,217.87,222.06,217.595,221.495,293070.0,5132.0,220.239458
META,2023-04-17 04:00:00+00:00,219.72,220.885,217.15,218.85,271169.0,6431.0,218.964691
META,2023-04-18 04:00:00+00:00,220.11,220.38,216.25,217.88,274814.0,4925.0,217.844392
META,2023-04-19 04:00:00+00:00,213.29,217.32,213.03,215.64,334386.0,5061.0,215.514363
META,2023-04-20 04:00:00+00:00,213.385,216.7,212.78,213.08,337507.0,5920.0,214.444485
META,2023-04-21 04:00:00+00:00,210.01,213.38,209.64,212.9,320588.0,6264.0,211.961987
META,2023-04-24 04:00:00+00:00,213.585,213.895,210.75,212.8,259392.0,4530.0,212.495045
META,2023-04-25 04:00:00+00:00,210.815,211.21,207.14,207.5,371783.0,6246.0,208.900265
META,2023-04-26 04:00:00+00:00,212.325,214.095,208.93,209.3,732795.0,12513.0,211.197049
META,2023-04-27 04:00:00+00:00,239.915,241.67,236.875,238.45,1725749.0,31159.0,239.360222
META,2023-04-28 04:00:00+00:00,238.955,240.42,235.8,240.19,843936.0,10991.0,238.505395
META,2023-05-01 04:00:00+00:00,238.75,243.94,236.56,243.11,592471.0,6819.0,241.019395
META,2023-05-02 04:00:00+00:00,243.11,244.9,239.0,239.24,464104.0,8237.0,240.828834
META,2023-05-03 04:00:00+00:00,239.555,241.71,232.85,236.98,651751.0,8232.0,237.402493
META,2023-05-04 04:00:00+00:00,236.355,238.15,232.95,233.5,423163.0,6875.0,235.860272
META,2023-05-05 04:00:00+00:00,231.5,234.54,229.93,232.8,480066.0,9156.0,231.572299
META,2023-05-08 04:00:00+00:00,231.43,235.555,230.27,233.29,219413.0,4250.0,232.604095
META,2023-05-09 04:00:00+00:00,231.34,235.86,231.3,233.37,337332.0,5621.0,233.931439
META,2023-05-10 04:00:00+00:00,236.16,236.6,230.76,233.07,368609.0,5843.0,233.476635
