DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,1999-09,60.34,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,1999-10,60.54,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,1999-11,61.09,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,1999-12,62.75,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-01,62.64,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-02,64.20,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-03,66.08,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-04,64.82,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-05,66.63,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-06,67.91,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-07,67.94,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-08,68.36,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-09,73.82,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2000-10,72.92,,
