symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2023-01-03 05:00:00+00:00,130.25,130.86,124.17,125.145,2123546.0,16801.0,125.784326
AAPL,2023-01-04 05:00:00+00:00,126.93,128.65,125.105,126.39,1638939.0,14761.0,126.692583
AAPL,2023-01-05 05:00:00+00:00,126.96,127.74,124.765,125.03,1440170.0,12850.0,126.261401
AAPL,2023-01-06 05:00:00+00:00,125.98,130.275,124.895,129.56,1349339.0,13173.0,128.167253
AAPL,2023-01-09 05:00:00+00:00,130.56,133.41,129.89,130.18,1236469.0,10899.0,131.931094
AAPL,2023-01-10 05:00:00+00:00,130.26,131.23,128.125,130.74,918335.0,8319.0,129.596146
AAPL,2023-01-11 05:00:00+00:00,131.36,133.47,130.49,133.37,1209100.0,10252.0,132.215894
AAPL,2023-01-12 05:00:00+00:00,134.13,134.24,131.46,133.36,1355666.0,11630.0,133.084393
AAPL,2023-01-13 05:00:00+00:00,131.86,134.91,131.705,134.73,904681.0,9475.0,133.519425
AAPL,2023-01-17 05:00:00+00:00,134.865,137.28,134.2,135.91,1251222.0,11698.0,135.787119
AAPL,2023-01-18 05:00:00+00:00,136.92,138.61,135.04,135.2,1779440.0,15742.0,136.535539
AAPL,2023-01-19 05:00:00+00:00,134.05,136.25,133.78,135.27,1023477.0,9771.0,134.971981
AAPL,2023-01-20 05:00:00+00:00,135.06,137.96,134.28,137.89,1273232.0,11609.0,135.970047
AAPL,2023-01-23 05:00:00+00:00,138.09,143.315,137.94,141.095,2239571.0,16486.0,141.423179
AAPL,2023-01-24 05:00:00+00:00,140.5,143.13,140.3,142.53,838216.0,8633.0,142.155669
AAPL,2023-01-25 05:00:00+00:00,140.85,142.425,138.815,141.81,1154572.0,9990.0,140.837719
AAPL,2023-01-26 05:00:00+00:00,143.22,144.25,141.93,143.94,1030855.0,10016.0,143.316486
AAPL,2023-01-27 05:00:00+00:00,143.12,147.21,143.12,145.95,1237258.0,12177.0,146.021494
AAPL,2023-01-30 05:00:00+00:00,144.82,145.52,142.865,143.02,1003188.0,8830.0,143.769878
AAPL,2023-01-31 05:00:00+00:00,142.73,144.33,142.285,144.3,907942.0,8619.0,143.390341
AAPL,2023-02-01 05:00:00+00:00,143.97,146.6,141.38,145.44,1249541.0,11752.0,143.712799
AAPL,2023-02-02 05:00:00+00:00,148.89,151.18,148.17,150.62,2045098.0,20302.0,149.738478
AAPL,2023-02-03 05:00:00+00:00,147.875,157.36,147.835,154.51,4085828.0,30857.0,154.34488
AAPL,2023-02-06 05:00:00+00:00,152.455,153.07,150.785,151.74,1042601.0,10618.0,152.07461
AAPL,2023-02-07 05:00:00+00:00,150.75,155.2,150.75,154.68,1193188.0,10357.0,153.472593
AAPL,2023-02-08 05:00:00+00:00,153.79,154.57,151.18,151.95,1151312.0,11162.0,152.314272
AAPL,2023-02-09 05:00:00+00:00,153.84,154.27,150.43,150.83,935481.0,8860.0,152.448584
AAPL,2023-02-10 05:00:00+00:00,149.41,151.225,149.26,151.0,760448.0,7825.0,150.440671
AAPL,2023-02-13 05:00:00+00:00,150.98,154.245,150.98,153.84,969944.0,9824.0,153.220923
AAPL,2023-02-14 05:00:00+00:00,152.12,153.75,150.92,153.14,987798.0,10407.0,152.598022
AAPL,2023-02-15 05:00:00+00:00,153.17,155.485,152.92,155.35,946558.0,14362.0,154.397305
AAPL,2023-02-16 05:00:00+00:00,153.47,156.32,153.38,153.71,1087418.0,11075.0,154.952699
AAPL,2023-02-17 05:00:00+00:00,152.37,152.98,150.86,152.53,834811.0,9544.0,151.93741
AAPL,2023-02-21 05:00:00+00:00,150.21,151.28,148.405,148.5,960590.0,8988.0,149.56297
AAPL,2023-02-22 05:00:00+00:00,148.66,149.93,147.18,148.92,817344.0,10779.0,148.492246
AAPL,2023-02-23 05:00:00+00:00,150.1,150.32,147.245,149.38,653250.0,6528.0,148.818951
AAPL,2023-02-24 05:00:00+00:00,147.04,147.17,145.73,146.68,659419.0,7705.0,146.320928
AAPL,2023-02-27 05:00:00+00:00,147.74,149.14,147.49,147.9,616153.0,6019.0,148.152979
AAPL,2023-02-28 05:00:00+00:00,147.04,149.05,146.86,147.47,566243.0,8328.0,147.796606
AAPL,2023-03-01 05:00:00+00:00,146.82,147.22,145.01,145.35,948777.0,9242.0,145.913723
AAPL,2023-03-02 05:00:00+00:00,144.4,146.695,143.91,145.92,1370792.0,11568.0,145.094621
AAPL,2023-03-03 05:00:00+00:00,147.92,151.085,147.34,151.08,1278282.0,13458.0,149.821306
AAPL,2023-03-06 05:00:00+00:00,153.84,156.29,153.46,153.85,1305944.0,13500.0,154.775282
AAPL,2023-03-07 05:00:00+00:00,153.8,154.025,151.14,151.58,956489.0,9545.0,152.372452
AAPL,2023-03-08 05:00:00+00:00,152.855,153.45,151.85,152.86,612686.0,6871.0,152.693932
AAPL,2023-03-09 05:00:00+00:00,153.515,154.51,150.245,150.54,708431.0,7374.0,152.506188
AAPL,2023-03-10 05:00:00+00:00,150.15,150.93,147.615,148.48,852808.0,8720.0,148.978248
AAPL,2023-03-13 04:00:00+00:00,147.87,153.14,147.87,150.44,1304258.0,13430.0,151.239533
AAPL,2023-03-14 04:00:00+00:00,151.34,153.39,150.16,152.44,1028518.0,10934.0,151.98589
AAPL,2023-03-15 04:00:00+00:00,150.96,153.22,149.92,153.0,1110028.0,9759.0,151.632783
AAPL,2023-03-16 04:00:00+00:00,152.26,156.35,151.69,155.9,1058084.0,10426.0,154.771435
AAPL,2023-03-17 04:00:00+00:00,155.89,156.72,154.3,155.03,883079.0,8650.0,155.260523
